*** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 31 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 35512 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-0.15   sec  77.8 KBytes  4.19 Mbits/sec    0   14.1 KBytes       
[  5]   0.15-0.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   0.20-0.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   0.30-0.40   sec  84.8 KBytes  6.95 Mbits/sec    0   28.3 KBytes       
[  5]   0.40-0.50   sec  84.8 KBytes  6.95 Mbits/sec    0   55.1 KBytes       
[  5]   0.50-0.60   sec  0.00 Bytes  0.00 Mbits/sec    0   56.6 KBytes       
[  5]   0.60-0.70   sec   256 KBytes  21.0 Mbits/sec    0   97.6 KBytes       
[  5]   0.70-0.80   sec   256 KBytes  21.0 Mbits/sec    0    153 KBytes       
[  5]   0.80-0.90   sec  0.00 Bytes  0.00 Mbits/sec    0    173 KBytes       
[  5]   0.90-1.00   sec   128 KBytes  10.5 Mbits/sec    0    178 KBytes       
[  5]   1.00-1.10   sec   128 KBytes  10.5 Mbits/sec    0    184 KBytes       
[  5]   1.10-1.20   sec   128 KBytes  10.5 Mbits/sec    0    189 KBytes       
[  5]   1.20-1.30   sec   256 KBytes  21.0 Mbits/sec    0    195 KBytes       
[  5]   1.30-1.40   sec   128 KBytes  10.5 Mbits/sec    0    202 KBytes       
[  5]   1.40-1.50   sec   128 KBytes  10.5 Mbits/sec    0    208 KBytes       
[  5]   1.50-1.60   sec   128 KBytes  10.5 Mbits/sec    0    214 KBytes       
[  5]   1.60-1.70   sec   128 KBytes  10.5 Mbits/sec    0    219 KBytes       
[  5]   1.70-1.80   sec   128 KBytes  10.5 Mbits/sec    0    225 KBytes       
[  5]   1.80-1.90   sec   128 KBytes  10.5 Mbits/sec    0    230 KBytes       
[  5]   1.90-2.00   sec   128 KBytes  10.5 Mbits/sec    0    236 KBytes       
[  5]   2.00-2.10   sec   128 KBytes  10.5 Mbits/sec    0    242 KBytes       
[  5]   2.10-2.20   sec   256 KBytes  21.0 Mbits/sec    0    249 KBytes       
[  5]   2.20-2.30   sec   128 KBytes  10.5 Mbits/sec    0    255 KBytes       
[  5]   2.30-2.40   sec   128 KBytes  10.5 Mbits/sec    0    260 KBytes       
